Day,protests,black_lives_matter,federal,tear_gas,gas_mask,bortac,homeland_security,marshals,border_patrol,bleach,chlorine
2020-05-15,1,0,42,7,18,0,0,41,46,96,22
2020-05-16,1,3,36,0,20,0,0,0,0,67,38
2020-05-17,2,0,41,8,20,0,0,0,51,47,25
2020-05-18,1,0,40,0,17,0,0,0,0,12,22
2020-05-19,1,2,45,7,96,0,0,39,0,63,43
2020-05-20,0,2,44,0,67,0,0,39,0,46,29
2020-05-21,1,0,43,0,47,0,0,0,45,35,37
2020-05-22,0,3,52,0,12,0,23,0,0,61,23
2020-05-23,0,0,39,0,63,0,27,0,0,56,66
2020-05-24,1,3,25,0,46,94,28,49,0,58,0
2020-05-25,0,2,33,0,35,0,26,46,0,68,42
2020-05-26,1,2,46,7,61,0,0,0,0,53,22
2020-05-27,2,6,57,7,56,0,45,0,0,41,22
2020-05-28,3,7,32,7,58,0,0,0,0,36,57
2020-05-29,17,19,48,9,68,0,0,0,0,61,35
2020-05-30,55,30,33,29,53,0,0,0,100,90,24
2020-05-31,96,48,36,49,41,0,0,44,0,45,37
2020-06-01,100,56,55,69,36,0,0,0,46,24,30
2020-06-02,83,100,44,78,61,0,23,0,46,42,38
2020-06-03,75,65,50,100,90,0,22,38,0,51,43
2020-06-04,57,62,49,52,45,0,22,0,0,28,32
2020-06-05,43,75,48,40,24,0,0,39,0,41,33
2020-06-06,48,79,44,69,42,0,25,0,50,72,73
2020-06-07,38,69,35,45,51,0,25,44,0,72,0
2020-06-08,31,48,55,25,28,0,21,38,0,28,21
2020-06-09,19,43,51,25,41,0,0,0,43,67,0
2020-06-10,22,44,54,20,72,0,0,40,0,47,29
2020-06-11,31,42,48,20,72,0,23,41,46,36,23
2020-06-12,16,39,57,14,28,0,23,0,0,30,23
2020-06-13,21,36,32,8,67,0,0,45,0,74,25
2020-06-14,18,40,28,8,47,0,27,0,54,70,53
2020-06-15,13,19,38,14,36,0,0,0,0,54,23
2020-06-16,9,23,45,7,30,0,23,39,46,53,22
2020-06-17,11,21,46,7,74,0,0,84,0,44,23
2020-06-18,11,26,41,11,70,0,24,43,0,57,48
2020-06-19,17,24,41,7,54,0,0,44,0,39,24
2020-06-20,21,25,36,12,53,0,0,47,0,56,26
2020-06-21,11,23,24,0,44,0,0,0,0,29,27
2020-06-22,7,20,39,11,57,0,25,0,0,77,24
2020-06-23,5,17,41,7,39,0,24,42,49,38,23
2020-06-24,7,17,44,0,56,0,24,0,0,44,60
2020-06-25,7,15,48,0,29,0,24,0,0,64,24
2020-06-26,8,21,44,7,77,0,0,0,0,26,37
2020-06-27,14,13,34,8,38,0,0,0,56,37,69
